title,view_count,like_count,channel_name,published
(탈북은 지능순?) 깨어나기 시작하는 북한의 MZ세대 젊은이들    | 이제 만나러 갑니다 490 회 다시보기,643773,8584,play 채널A,2021-05-12T14:44:20Z
※현실판 사랑의 불시착※ 드라마보다 더 드라마같은 수애의 러브 스토리 | 이제 만나러 갑니다 450 회 다시보기,1314579,10047,play 채널A,2020-08-06T14:20:01Z
[#톡쏘능]🚩귀순 D-day✈️이륙부터 착륙까지 긴박했던 그날! 이철수가 직접 전하는 생생한 이야기!!| #이만갑 649회,5217857,50052,채널에이드: 채널A Drama & Enjoy,2024-06-07T09:00:15Z
[#밥친구] 🤵15살 차이 남한 남자와 북한 여자👰💖 남남북녀가 이룬 가정이라서 가능한 특별함⭐ | #이만갑 1시간 몰아보기,674269,5156,채널A WORLD,2024-08-25T08:00:30Z
[#이만갑모아보기] 김정은의 애착(?) 단체! ICBM부터 다른 무기까지 연구하는 '김정은국방종합학교' #ICBM #북한 | 이제 만나러 갑니다 643 회,32405,534,play 채널A,2024-04-21T15:33:54Z
[#밥친구] 납북 대상은 정해져 있다! 북한의 납치 유인 작전😨 다시 돌아가면 이렇게 이용됩니다... | #이만갑 1시간 몰아보기,617687,6739,채널A WORLD,2024-05-07T08:00:19Z
[#톡쏘능] 따끈따끈♨️ 최신 북한 내부영상🎥 탈북민이 직접 촬영해온 처참한 북한 실상 대공개💥 |#이만갑 659회,894437,12073,채널에이드: 채널A Drama & Enjoy,2024-08-16T09:00:02Z
북한의 조기 세뇌 #이제만나러갑니다,25949,448,play 채널A,2024-06-16T15:15:02Z
#01 이만갑의 새로운MC를 소개합니다!.이제 만나러 갑니다 E33.120715,31277,118,play 채널A,2012-07-16T03:17:40Z
#04 탈북미녀들의 학교 등교길 재연!.이제 만나러 갑니다 E26.120527,75732,136,play 채널A,2012-05-30T04:37:32Z
사상자만 다 합쳐서 수십 명;; #이제만나러갑니다,15190,176,play 채널A,2024-05-05T15:20:00Z
[#밥친구] 🤵15살 차이 남한 남자와 북한 여자👰💖 남남북녀가 이룬 가정이라서 가능한 특별함⭐ | #이만갑 1시간 몰아보기,674269,5156,채널A WORLD,2024-08-25T08:00:30Z
[#톡쏘능]🚩귀순 D-day✈️이륙부터 착륙까지 긴박했던 그날! 이철수가 직접 전하는 생생한 이야기!!| #이만갑 649회,5217857,50052,채널에이드: 채널A Drama & Enjoy,2024-06-07T09:00:15Z
북한의 조기 세뇌 #이제만나러갑니다,25949,448,play 채널A,2024-06-16T15:15:02Z
